original_caption,new_caption,contentUrl
Disco light leaks disco ball light reflections shaped rectangular and line with motion blur effect.,Rectangular and line-shaped disco light reflections with motion blur effect leak from a disco ball.,https://ak.picdn.net/shutterstock/videos/1023443014/preview/stock-footage-disco-light-leaks-disco-ball-light-reflections-shaped-rectangular-and-line-with-motion-blur-effect.mp4
Valle de la luna / san pedro de atacama / chile - pull focus - desert and salt,"The camera pulls focus on the desert and salt formations in Valle de la Luna, San Pedro de Atacama, Chile.",https://ak.picdn.net/shutterstock/videos/1026421895/preview/stock-footage-valle-de-la-luna-san-pedro-de-atacama-chile-pull-focus-desert-and-salt.mp4
Cloudy moscow kremlin time lapse,A time lapse of the cloudy Moscow Kremlin.,https://ak.picdn.net/shutterstock/videos/4350377/preview/stock-footage-cloudy-moscow-kremlin-time-lapse.mp4
Sharp knife to cut delicious smoked fish,A sharp knife is used to cut delicious smoked fish.,https://ak.picdn.net/shutterstock/videos/1054633538/preview/stock-footage-sharp-knife-to-cut-delicious-smoked-fish.mp4
The girl received flowers as a gift. a gift for my birthday. the guy gave a girl flowers,The girl received flowers as a birthday gift from a guy.,https://ak.picdn.net/shutterstock/videos/15702931/preview/stock-footage-the-girl-received-flowers-as-a-gift-a-gift-for-my-birthday-the-guy-gave-a-girl-flowers.mp4
A baker turns freshly baked loaves of sourdough bread,The baker turns freshly baked loaves of sourdough bread.,https://ak.picdn.net/shutterstock/videos/4393874/preview/stock-footage-a-baker-turns-freshly-baked-loaves-of-sourdough-bread.mp4
"Transparent plastic chairs for wedding guests. it is raining, large drops are stained on the chairs, gray weather. view from human height.","Transparent plastic chairs for wedding guests are seen from a human height perspective, with large raindrops staining the chairs in gray weather.",https://ak.picdn.net/shutterstock/videos/1038916979/preview/stock-footage-transparent-plastic-chairs-for-wedding-guests-it-is-raining-large-drops-are-stained-on-the-chairs.mp4
Preparing a caramel cream for cake.,Someone is preparing caramel cream for a cake.,https://ak.picdn.net/shutterstock/videos/1058034760/preview/stock-footage-preparing-a-caramel-cream-for-cake.mp4
Seductive naked beautiful female touching face neck shoulder smooth skin posing looking at camera,"A beautiful female with smooth skin poses seductively, touching her face, neck, and shoulder while looking at the camera.",https://ak.picdn.net/shutterstock/videos/1039460906/preview/stock-footage-seductive-naked-beautiful-female-touching-face-neck-shoulder-smooth-skin-posing-looking-at-camera.mp4
"Toronto - july: toronto cityscape with view of cn tower, tall modern buildings and gardiner expressway, july 2016, toronto, canada","In July 2016, the cityscape of Toronto, Canada is shown with a view of the CN Tower, tall modern buildings, and the Gardiner Expressway.",https://ak.picdn.net/shutterstock/videos/22794697/preview/stock-footage-toronto-july-toronto-cityscape-with-view-of-cn-tower-tall-modern-buildings-and-gardiner.mp4
"Real estate developer study financial investment stage building project examine ( ultra high definition, ultrahd, ultra hd, uhd, 4k, 2160p, 4096x2160 )",A real estate developer examines the financial investment stage of a building project.,https://ak.picdn.net/shutterstock/videos/12028118/preview/stock-footage-real-estate-developer-study-financial-investment-stage-building-project-examine-ultra-high.mp4
Combing british cat fur outside top view slow motion 4k. view cat in focus from above while a female person with comb removing excessive fur.,"A person combs the fur of a British cat from above, removing excessive fur.",https://ak.picdn.net/shutterstock/videos/32887987/preview/stock-footage-combing-british-cat-fur-outside-top-view-slow-motion-k-view-cat-in-focus-from-above-while-a.mp4
Motion,There is movement.,https://ak.picdn.net/shutterstock/videos/438100/preview/stock-footage-motion.mp4
"Torreon, coahuila / mexico - 04 01 2019: ferromex train shot in torreon coahuila mexico the first of april 2019","A Ferromex train is seen in Torreon, Coahuila, Mexico on April 1st, 2019.",https://ak.picdn.net/shutterstock/videos/1034029091/preview/stock-footage-torreon-coahuila-mexico-ferromex-train-shot-in-torreon-coahuila-mexico-the-first.mp4
Step 1 2 3 process system procedure thinker 3d animation,"A 3D animation of a process system procedure with steps 1, 2, and 3 being shown.",https://ak.picdn.net/shutterstock/videos/16918675/preview/stock-footage-step-process-system-procedure-thinker-d-animation.mp4
"Kruger national park / south africa    ,  video of animals in  kruger national park   , taken by drone camera ","A video of animals in Kruger National Park in South Africa, captured by a drone camera.",https://ak.picdn.net/shutterstock/videos/1046114683/preview/stock-footage-kruger-national-park-south-africa-video-of-animals-in-kruger-national-park-taken-by.mp4
"The river flows, winter, snow, ice, water, winter landscape",The winter landscape shows a river flowing with snow and ice on the water.,https://ak.picdn.net/shutterstock/videos/22062379/preview/stock-footage-the-river-flows-winter-snow-ice-water-winter-landscape.mp4
Shot of beautiful dinnerware and cutlery on a banquet table at restaurant,There is a shot of beautiful dinnerware and cutlery arranged on a banquet table at a restaurant.,https://ak.picdn.net/shutterstock/videos/32474803/preview/stock-footage-shot-of-beautiful-dinnerware-and-cutlery-on-a-banquet-table-at-restaurant.mp4
"San ysidro, san diego - circa 2013: this is the southbound san ysidro land port of entry. it is the busiest land port of entry in western hemisphere. 50,000 northbound vehicles are processed each day.  video shot in late 2013.
","This is the southbound San Ysidro Land Port of Entry in San Diego, which is the busiest land port of entry in the Western Hemisphere. Approximately 50,000 northbound vehicles are processed each day. The video was shot in late 2013.",https://ak.picdn.net/shutterstock/videos/8824387/preview/stock-footage-san-ysidro-san-diego-circa-this-is-the-southbound-san-ysidro-land-port-of-entry-it-is-the.mp4
Corn husks in field for agriculture farming,Corn husks are seen in a field used for agriculture farming.,https://ak.picdn.net/shutterstock/videos/1034879432/preview/stock-footage-corn-husks-in-field-for-agriculture-farming.mp4
Ferrofluid. black liquid surface. abstract background.,"The surface of a black liquid, known as ferrofluid, creates an abstract background.",https://ak.picdn.net/shutterstock/videos/34874836/preview/stock-footage-ferrofluid-black-liquid-surface-abstract-background.mp4
"Young man working on laptop and checking his smart phone in former old meat shop with brick wall. puebla, mexico, in may 06, 2019.","A young man is working on his laptop and checking his smartphone in a former old meat shop with a brick wall in Puebla, Mexico on May 6, 2019.",https://ak.picdn.net/shutterstock/videos/1029123353/preview/stock-footage-young-man-working-on-laptop-and-checking-his-smart-phone-in-former-old-meat-shop-with-brick-wall.mp4
Gardener man in blue jumper trim hedge fence with two handle red clippers on blue sky and spring trees background. spring season works in homestead garden. 4k uhd video clip.,A man in a blue jumper trims a hedge fence using two handle red clippers against a blue sky and spring trees background in a homestead garden during the spring season.,https://ak.picdn.net/shutterstock/videos/13406111/preview/stock-footage-gardener-man-in-blue-jumper-trim-hedge-fence-with-two-handle-red-clippers-on-blue-sky-and-spring.mp4
"Israel - tel aviv, 14 june 2019: traditional gay lesbian gay pride parade tel aviv 2019","The traditional gay and lesbian pride parade takes place in Tel Aviv, Israel on June 14, 2019.",https://ak.picdn.net/shutterstock/videos/1031668580/preview/stock-footage-israel-tel-aviv-june-traditional-gay-lesbian-gay-pride-parade-tel-aviv.mp4
Treasure of golden bitcoins inside a green velvet hat on wooden table to celebrate luck on st patrick's day of march 17th,Golden bitcoins are displayed inside a green velvet hat on a wooden table to celebrate St. Patrick's Day on March 17th.,https://ak.picdn.net/shutterstock/videos/34485109/preview/stock-footage-treasure-of-golden-bitcoins-inside-a-green-velvet-hat-on-wooden-table-to-celebrate-luck-on-st.mp4
Ascending elevator through the glass high angle close-up in the airport,"An elevator ascends through the glass in the airport, seen from a high angle close-up.",https://ak.picdn.net/shutterstock/videos/1011310046/preview/stock-footage-ascending-elevator-through-the-glass-high-angle-close-up-in-the-airport.mp4
Pear fruits hanging on a branch of a tree rulevogo,There are pear fruits hanging on a branch of a tree.,https://ak.picdn.net/shutterstock/videos/1013932415/preview/stock-footage-pear-fruits-hanging-on-a-branch-of-a-tree-rulevogo.mp4
"Residential complex, architecture",A residential complex with unique architecture.,https://ak.picdn.net/shutterstock/videos/1020454987/preview/stock-footage-residential-complex-architecture.mp4
Heron flight,A heron is flying.,https://ak.picdn.net/shutterstock/videos/5090672/preview/stock-footage-heron-flight.mp4
"Aerial view of countryside, drone top view 4k uhd video",An aerial drone captures a top view of the countryside in 4k UHD video.,https://ak.picdn.net/shutterstock/videos/27709759/preview/stock-footage-aerial-view-of-countryside-drone-top-view-k-uhd-video.mp4
"Asia little girl wash a car with family together, slow motion shot",A little girl in Asia helps her family wash a car in slow motion.,https://ak.picdn.net/shutterstock/videos/25201664/preview/stock-footage-asia-little-girl-wash-a-car-with-family-together-slow-motion-shot.mp4
